869-1101,菊池郡菊陽町津久礼７９２－２１,,,株式会社　東築建設,428,1,2024 年 03 月 31 日,,,
3月21日,5476,本荘5丁目マンション新築工事,15,,26,18  -15  -20 -N,1,15800,15800,小型割増
3月21日,,本荘5丁目マンション新築工事,15,,,空積料,1台,2500,2500,
3月21日,1024701,家族葬のファミーユ江津ホール新築工事,15,,26,18  -15  -20 -N,2.5,20300,50750,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,521.75,,9384900,
12207305,0,12207305,9384900,938490,10323390,22530695,0,0,,
861-8035,熊本市東区御領３－１７－１５,,,株式会社 優渾,676,1,2024 年 03 月 31 日,,,
3月2日,5719,MRビル新築工事,676,,3124,40  -15  -20 -N,120,22050,2646000,高性能
3月2日,5719,MRビル新築工事,676,,204,試験一式,1,8000,8000,
3月2日,5719,MRビル新築工事,676,,222,塩分試験支給,1,500,500,
3月2日,5719,MRビル新築工事,676,,224,外部試験代行(圧縮),1,8000,8000,
3月4日,5546,ラシック大津マンション新築工事（B棟）,676,,27,18  -18  -20 -N,0.75,15500,11625,
3月4日,,ラシック大津マンション新築工事（B棟）,676,,,空積料,1台,2500,2500,
3月4日,5696,ラシック光の森新築工事,676,,3125,40  -18  -20 -N,116,22050,2557800,高性能
3月4日,5696,ラシック光の森新築工事,676,,204,試験一式,1,8000,8000,
3月4日,5696,ラシック光の森新築工事,676,,222,塩分試験支給,1,500,500,
3月4日,5696,ラシック光の森新築工事,676,,224,外部試験代行(圧縮),1,8000,8000,
3月5日,5442,水前寺1丁目マンション,676,,27,18  -18  -20 -N,1,16000,16000,小型割増
3月5日,,水前寺1丁目マンション,676,,,空積料,1台,2500,2500,
3月5日,5663,(仮称)坪井マンション新築工事,676,,26,18  -15  -20 -N,3,15500,46500,
3月6日,5718,神園マンション新築工事,676,,26,18  -15  -20 -N,1,17500,17500,
3月6日,,神園マンション新築工事,676,,,空積料,1台,2500,2500,
3月7日,5442,水前寺1丁目マンション,676,,55,24  -18  -20 -N,4,14400,57600,
3月7日,5567,(仮称)水前寺3丁目マンション新築工事,676,,223,18  -8   -20 -BB,0.5,13300,6650,
3月7日,,(仮称)水前寺3丁目マンション新築工事,676,,,空積料,1台,2500,2500,
3月7日,5844,ラ・シック熊本駅南新築工事,676,,96,33  -15  -20 -N,100,19900,1990000,
3月7日,5844,ラ・シック熊本駅南新築工事,676,,204,試験一式,1,8000,8000,
3月7日,5844,ラ・シック熊本駅南新築工事,676,,321,塩分試験一式,1,2000,2000,
3月8日,5567,(仮称)水前寺3丁目マンション新築工事,676,,27,18  -18  -20 -N,4.5,13500,60750,
3月8日,5567,(仮称)水前寺3丁目マンション新築工事,676,,41,21  -18  -20 -N,7.75,14000,108500,
3月9日,5718,神園マンション新築工事,676,,69,27  -18  -20 -N,126,18900,2381400,
3月9日,5718,神園マンション新築工事,676,,204,試験一式,1,8000,8000,
3月9日,5718,神園マンション新築工事,676,,224,外部試験代行(圧縮),1,8000,8000,
3月9日,5718,神園マンション新築工事,676,,321,塩分試験一式,1,2000,2000,
3月11日,5442,水前寺1丁目マンション,676,,55,24  -18  -20 -N,3.5,16900,59150,小型割増
3月13日,5546,ラシック大津マンション新築工事（B棟）,676,,27,18  -18  -20 -N,8,15500,124000,
3月13日,5567,(仮称)水前寺3丁目マンション新築工事,676,,26,18  -15  -20 -N,1,13500,13500,
3月13日,,(仮称)水前寺3丁目マンション新築工事,676,,,空積料,1台,2500,2500,
3月14日,5442,水前寺1丁目マンション,676,,54,24  -15  -20 -N,16,14400,230400,
3月14日,5442,水前寺1丁目マンション,676,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,23200,11600,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,83,30  -18  -20 -N,235.5,15400,3626700,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,9103,1:3 -ﾓﾙﾀﾙ -N,0.75,23200,17400,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,204,試験一式,2,8000,16000,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,222,塩分試験支給,2,500,1000,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,224,外部試験代行(圧縮),2,8000,16000,
3月15日,5382,オーヴィジョン上熊本レジデンス新築工事,676,,312,追加採取,3,3000,9000,
3月15日,5442,水前寺1丁目マンション,676,,26,18  -15  -20 -N,1,13500,13500,
,,,,,,,,,,
100034577,61520937,38513640,17375150,1737515,19112665,57626305,55928,61465009,,
861-8035,熊本市東区御領３－１７－１５,,,株式会社 優渾,676,2,2024 年 03 月 31 日,,,
3月15日,,水前寺1丁目マンション,676,,,空積料,1台,2500,2500,
3月16日,5546,ラシック大津マンション新築工事（B棟）,676,,27,18  -18  -20 -N,3,15500,46500,
3月16日,5663,(仮称)坪井マンション新築工事,676,,54,24  -15  -20 -N,20,16400,328000,
3月16日,5663,(仮称)坪井マンション新築工事,676,,118,36  -18  -20 -N,1.5,18400,27600,
3月16日,5663,(仮称)坪井マンション新築工事,676,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,25200,12600,
3月18日,5546,ラシック大津マンション新築工事（B棟）,676,,26,18  -15  -20 -N,0.5,15500,7750,
3月18日,,ラシック大津マンション新築工事（B棟）,676,,,空積料,1台,2500,2500,
3月18日,5844,ラ・シック熊本駅南新築工事,676,,40,21  -15  -20 -N,10,18000,180000,
3月18日,5844,ラ・シック熊本駅南新築工事,676,,204,試験一式,1,8000,8000,
3月18日,5844,ラ・シック熊本駅南新築工事,676,,321,塩分試験一式,1,2000,2000,
3月19日,5696,ラシック光の森新築工事,676,,125,40  -18  -20 -N,104,22050,2293200,
3月19日,5696,ラシック光の森新築工事,676,,204,試験一式,1,8000,8000,
3月19日,5696,ラシック光の森新築工事,676,,222,塩分試験支給,1,500,500,
3月19日,5696,ラシック光の森新築工事,676,,224,外部試験代行(圧縮),1,8000,8000,
3月19日,5718,神園マンション新築工事,676,,26,18  -15  -20 -N,1,17500,17500,
3月19日,,神園マンション新築工事,676,,,空積料,1台,2500,2500,
3月20日,5902,ファミリーステージ大津Ⅲ新築工事,676,,533,割増 水積込(3ｔ),4,2250,9000,
3月21日,5567,(仮称)水前寺3丁目マンション新築工事,676,,39,21  -12  -20 -N,2.5,13900,34750,
3月21日,5663,(仮称)坪井マンション新築工事,676,,54,24  -15  -20 -N,10.5,16400,172200,
3月21日,5663,(仮称)坪井マンション新築工事,676,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,25200,12600,
3月21日,5902,ファミリーステージ大津Ⅲ新築工事,676,,523,水積込(3ｔ),5,1500,7500,
3月22日,5902,ファミリーステージ大津Ⅲ新築工事,676,,523,水積込(3ｔ),5,1500,7500,
3月22日,1010997,管様邸（清水）,676,,41,21  -18  -20 -N,2.25,23500,52875,小型割増
3月23日,5902,ファミリーステージ大津Ⅲ新築工事,676,,523,水積込(3ｔ),3,1500,4500,
3月25日,5902,ファミリーステージ大津Ⅲ新築工事,676,,523,水積込(3ｔ),6,1500,9000,
3月26日,1010989,ファミリ－ステ－ジ大津,676,,523,水積込(3t),4,1500,6000,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,907,,17375150,
,,,,,,　,,,,
860-0072,熊本市西区花園４丁目８－６,,,大政建設　株式会社,350,1,2024 年 03 月 31 日,,,
3月13日,5689,令和5・6年度白川慶徳地区環境整備事業,350,,237,21  -8   -20 -BB,1.25,17600,22000,
3月13日,,令和5・6年度白川慶徳地区環境整備事業,350,,,空積料,2台,2500,5000,
3月13日,5689,令和5・6年度白川慶徳地区環境整備事業,350,,204,試験一式,1,8000,8000,
3月13日,5689,令和5・6年度白川慶徳地区環境整備事業,350,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月20日,5690,一般県道天明川尻線(海路口工区)橋梁下部工(A2)外工事,350,,765,27  -8   -40 -BB,12.5,19500,243750,休日割増
3月20日,5690,一般県道天明川尻線(海路口工区)橋梁下部,350,,254,割増 試験一式,1,12000,12000,
3月20日,5690,一般県道天明川尻線(海路口工区)橋梁下部,350,,426,割増 単位水量ｴｱﾒｰﾀ,1,7500,7500,
3月22日,5690,一般県道天明川尻線(海路口工区)橋梁下部工(A2)外工事,350,,723,18  -8   -40 -BB,1.5,17100,25650,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,15.25,,328900,
1904375,1904375,0,328900,32890,361790,361790,0,1904375,,
861-3203,上益城郡御船町高木４８４８－１－１,,,株式会社 やすらぎ住建,653,1,2024 年 03 月 31 日,,,
3月5日,9012171,堂園小森線広域連携交付金(道路改築)その3,653,,205,工場試験一式,1,4000,4000,2/26分
3月5日,9012171,堂園小森線広域連携交付金(道路改築)その3,653,,224,外部試験代行(圧縮),1,8000,8000,2/26分
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,0.2,,15920,
186202,0,186202,15920,1592,17512,203714,0,0,,
861-2402,阿蘇郡西原村小森１９,,,株式会社 下村組,261,1,2024 年 03 月 31 日,,,
3月8日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,237,21  -8   -20 -BB,3,16800,50400,工場渡し
3月8日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,0.5,16800,8400,工場渡し
3月9日,1022935,堀切高遊線,261,,737,21  -8   -40 -BB,3.5,16800,58800,工場渡し
3月12日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,1.5,16800,25200,工場渡し
3月13日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,2.75,16800,46200,工場渡し
3月14日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,3.55,16800,59640,工場渡し
3月15日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,2,16800,33600,工場渡し
3月16日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,739,21  -12  -40 -BB,1,16800,16800,工場渡し
3月18日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,2,16800,33600,工場渡し
3月19日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,2.5,16800,42000,工場渡し
3月21日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,3.5,16800,58800,工場渡し
3月22日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,3,16800,50400,工場渡し
3月23日,9012199,災補道 第303号 滝小野線道路災害復旧工事,261,,737,21  -8   -40 -BB,3.75,16800,63000,工場渡し
3月23日,9012199,災補道 第303号 滝小野線道路災,261,,205,工場試験一式,1,4000,4000,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,32.55,,550840,
5003878,0,5003878,550840,55084,605924,5609802,0,0,,
861-3546,上益城郡山都町南田２２０－１,,,矢部開発　株式会社,658,1,2024 年 03 月 31 日,,,
3月9日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,222,18  -5   -20 -BB,0.5,16100,8050,工場渡し
3月15日,1009766,熊本3号植木バイパス保全工事,658,,237,21  -8   -20 -BB,6,17600,105600,
3月15日,1009766,熊本3号植木バイパス保全工事,658,,204,試験一式,1,8000,8000,
3月19日,5614,肥後木材株式会社敷地拡張に伴う造成工事,148,,40,21  -15  -20 -N,28,17800,498400,
3月19日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57.5,19100,1098250,
3月19日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月19日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月19日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月19日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月20日,1009766,熊本3号植木バイパス保全工事,658,,237,21  -8   -20 -BB,8,18600,148800,休日割増
